Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Chien de Canaan,https://fr.wikipedia.org/wiki/Chien_de_Canaan,Moyen-Orient,50 à 60 cm .,18 - 25 kg [ 1 ],"Serré, dur et droit","Sable à rouge-brun, blanc, noir ou panaché.",,"Brun foncé, en forme d'amande.","Dressées, de forme triangulaire, relativement courtes et larges","Attachée haut, portée enroulée sur le dos","Vigilant, docile, affectueux , instinct de garde sans agressivité,dévoué et solide",,"Chien guide d'aveugle , Chien de garde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esquimau canadien,https://fr.wikipedia.org/wiki/Esquimau_canadien,Canada,"58 à 70 cm (M), 50 à 60 cm (F)","30 à 40 kg (M), 18 à 30 kg (F)","Poil de couverture droit, avec un sous-poil dense.","Blanc et rouge, dans toutes ses nuances, blanc et gris, blanc et noir.",,"Généralement de couleur sombre, de taille petite, bien espacé.","Courtes, de forme triangulaire avec l'extrémité arrondie.",Portée levée ou recourbée au-dessus du dos.,,"De type spitz, de construction solide.",Chien de traîneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien de cour italien,https://fr.wikipedia.org/wiki/Cane_Corso,Italie,"Mâles de 64 à 68 cm , femelles de 60 à 64 cm (avec une tolérance de 2 cm en plus ou en moins)","Mâles de 45 à 50 kg , femelles de 40 à 45 kg","court, brillant, très serré, doux","noire, grise, fauve, bringée (claire, foncée, grise)",,"moyens, iris foncé le plus proche possible de la couleur de la robe",la coupe des oreilles (otectomie) est interdite en France depuis le 1 er mai 2004,"attachée plutôt haute, très grosse à sa racine","Chien de garde, redoutable défenseur des personnes et des biens, très affectueux avec les enfants et ses maîtres et méfiant envers les étrangers.",,,,,,,,,,,,,,Chien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger de Maremme et Abruzzes,https://fr.wikipedia.org/wiki/Berger_de_Maremme_et_Abruzzes,Italie,60 à 73,,"bien fourni, long, rude, bien couché sur le corps",blanc uni,"grande, bien douce, rappelle celle d'un ours blanc, stop peu accentué","iris ocre ou marron foncé, paupières bordées de noir","triangulaires, tombantes, en V","attachée bas, bien fournie d'un poil touffue sans frange, pendante au repos","fier, dévoué à son maître",32 à 47 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caniche,https://fr.wikipedia.org/wiki/Caniche,"France , Allemagne",,,,Frisé : bouclé ou cordé,,,,,"comique, calme, affectueux, sportif ou chien de salon en fonction de la taille",variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien d'eau portugais,https://fr.wikipedia.org/wiki/Chien_d%27eau_portugais,Portugal,"43 cm à 53 cm (F), 51 cm à 58 cm (M)",,frisé ou long et ondulé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fila de São Miguel,https://fr.wikipedia.org/wiki/Fila_de_S%C3%A3o_Miguel,Portugal,"50 à 60 cm (M), 48 à 58 cm (F).","25 à 35 kg (M), 20 à 30 kg (F).","Court, lisse, dense, de texture rude.",Bringée.,"Anguleuse et forte, stop marqué.","De forme ovale, de taille moyenne, de couleur brun foncé, légèrement enfoncés.","Si non coupées : de taille moyenne, de forme triangulaire, tombent sans être accolées aux joues. Coupées en arrondi sinon.","Attachée haut, de longueur moyenne, grosse et légèrement recourbée.","Intelligent, réceptif, docile avec son maître et d'un tempérament affirmé envers les étrangers.","Chien de taille moyenne de type molossoïde , d'aspect rustique.","Chien de berger , chien de garde , chien de travail .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cão de gado transmontano,https://en.wikipedia.org/wiki/C%C3%A3o_de_Gado_Transmontano,,,,,,,,,,,,,Transmontano Mastiff,Portugal,,,,,Males,Males,Medium-length double coat,,,,"White with black, yellow, fawn or wolf grey markings most common",standard,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
berger de la Serra de Aires,https://fr.wikipedia.org/wiki/Berger_de_la_Serra_de_Aires,Portugal,45 à 55 cm (mâle) 42 à 52 cm (femelle),19 à 29 kilos,"lisse ou légèrement ondulé, long","jaune, marron, gris, fauve et gris de loup (fauve charbonné), avec les variantes claire, moyenne et foncée et noire","de taille moyenne (mesocéphale), forte, large, ni longue ni massive",,,,"intelligent, très vif, dévoué, distant envers les étrangers",,chien de berger pour la conduite et la garde des troupeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caravan hound,https://fr.wikipedia.org/wiki/Caravan_hound,Inde,M 68-72 cm & F 64-68 cm,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Dog,https://fr.wikipedia.org/wiki/Carolina_Dog,Caroline du Sud,,de 17 à 27 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien léopard catahoula,https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%91%E3%83%BC%E3%83%89%E3%83%BB%E3%83%84%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%89%E3%83%83%E3%82%B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catahoula Bulldog,https://en.wikipedia.org/wiki/Catahoula_bulldog,,,,,,,,,,,,,Louisiana Catahoula Leopard Dog Catahoula Cur Catahoula hog dog,United States,standard,,,,Males,40–95 lb (18–43 kg) [ 1 ],short to medium,varied,4–12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger du Caucase,https://fr.wikipedia.org/wiki/Berger_du_Caucase,Géorgie,femelle : minimum 62cm au garrot [ 1 ] mâle : minimum 65cm au garrot [ 1 ],,"Selon le type : Type A : Massif à poils longs, avec un panache à la queue, des franges aux pattes et une crinière pour les mâles uniquement. Type B : Svelte à poils courts et denses. Type C : Poils mi-longs, sans culotte ni crinière.","Diverses couleurs. Gris par zones avec des nuances variées, roux, couleur paille, blanc, brun rougeâtre, bringé, et également robe pie et parsemée de taches.","Crâne massif, stop pas nettement marqué, truffe forte et large généralement noire.","Sombres, petits, de forme ovale, enfoncés dans l’orbite.","Pendantes, attachées haut.","Attachée haut. En forme de faucille, de crochet ou d’anneau.","Type de très grande activité nerveuse, fort, équilibré, calme, mais indépendant, donc difficile à éduquer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavalier King Charles Spaniel,https://fr.wikipedia.org/wiki/Cavalier_King_Charles_Spaniel,Angleterre,25 à 35 cm pour le mâle et 25 à 33 pour la femelle,,"Poil long, soyeux, rarement bouclé.","Noir et feu, Rubis, Blenheim et Tricolore.",Crâne presque plat entre les oreilles avec un stop peu accentué.,"Grands, sombres, globuleux et ronds mais pas saillants. Les yeux sont bien écartés.","portées en général avec le poil long, attachées haut. 35 cm","La longueur est proportionnée à celle du corps, queue en panache","Gai, sensible, affectueux, très doux, très joueur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger d'Asie Centrale,https://fr.wikipedia.org/wiki/Berger_d%27Asie_centrale,Turkménistan,Au minimum 70 cm (M) et 65 cm (F).,"Au minimum 77 kg (M), 62 kg (F).",Deux variétés acceptées : poil court et poil long.,"Toutes couleurs acceptées sauf le bleu, le marron et le manteau noir sur robe fauve.","Massive, de forme presque rectangulaire. Museau tronqué, de forme rectangulaire, très volumineux.","De taille moyenne, de forme ovale, de couleur brun à noisette, de préférence foncé.","Tombantes, de petite taille moyenne, de forme triangulaire. Traditionnellement coupées.","Attachée haut, en forme de faucille, portée tombante et atteint le jarret si elle n'est pas coupée. Traditionnellement écourtée.","Calme, équilibré, courageux et indépendant.","Chien de montagne de grande taille, de construction grossière et massive.","Chien de berger , Chien de garde .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbu tchèque,https://fr.wikipedia.org/wiki/Barbu_tch%C3%A8que,République tchèque,"60 à 66 cm pour les mâles, 58 à 62 cm pour les femelles","28 à 34 kg pour les mâles, 22 à 28 kg pour les femelles",Dur.,"Rouan foncé, avec ou sans plaques brunes, brun tiquetées sur le poitrail et la partie inférieure des membres, brun sans aucune marque.",Assez étroite et longue. Les poils forment une barbe au niveau du museau.,"Couleur marron foncé, en amande, expression de bonté.","Tombantes, attachées haut, larges à la base et s'effilent vers la pointe.","Écourtée des trois cinquièmes de sa longueur, port horizontal.","Attaché à son maître, facile à mener.",,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohemian Spotted Dog,https://en.wikipedia.org/wiki/Bohemian_Spotted_Dog,,,,,,,,,,,,,,Czech Republic,,,,,Males,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier Tchèque,https://fr.wikipedia.org/wiki/Terrier_tch%C3%A8que,Tchéquie,"29 cm au garrot pour les mâles, 27 pour les femelles.",,"Poil long, fin mais solide, légèrement ondulé, au reflet soyeux, pas trop abondant. Chez le terrier tchèque le poil est toiletté.","Deux variétés de couleur : gris-bleu (à leur naissance, les chiots sont noirs) ; marron clair (à leur naissance les chiots sont marron foncé, chocolat). Dans les deux variétés de couleur des marques jaunes, grises ou blanches sont admises. Elles peuvent être localisées en tête (barbe, joues), au cou, à la poitrine, au ventre, aux membres et autour de l'anus. Il arrive parfois que l'extrémité‚ de la queue soit blanche et que le blanc forme un collier autour du cou. La couleur de fond doit cependant toujours prédominer.","A la forme d'un coin long et tronqué, sans être trop large. Les lignes supérieures du front et du chanfrein offrent une nette rupture de niveau.","De grandeur moyenne, bien enchâssés dans les orbites; expression débonnaire. Bien couverts par le poil qui retombe en avant. De couleur marron à marron foncé chez les sujets à robe gris-bleu ; de couleur marron clair chez les sujets à robe café au lait.","De grandeur moyenne. En tombant, elles couvrent entièrement l'orifice du canal auditif. Attachées relativement haut et bien accolées aux joues. Pavillon triangulaire, le côté le plus court étant à l'attache où l'oreille retombe.","18 à 20 cm, attachée bas, relativement épaisse. Au repos, elle pend ou présente à son extrémité une légère courbure vers le haut. En éveil, portée horizontalement ou plus haut en forme de sabre.","Calme et non agressif, joyeux est facile à éduquer; envers les étrangers il est réservé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger noir slovaque,https://fi.wikipedia.org/wiki/%C4%8Cierny_%C5%A1ery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien-loup tchécoslovaque,https://fr.wikipedia.org/wiki/Chien-loup_tch%C3%A9coslovaque,Tchécoslovaquie,60 à (pas de taille limite).,,"droit, bien couché",,"symétrique, bien musclée","étroits, de couleur ambre","dressées, minces, triangulaires",,"plein de tempérament, très actif, endurant, réceptif, rapide dans ses réactions, intrépide et courageux ; méfiant ; d’une fidélité exceptionnelle envers son maître ; résistant aux intempéries ; chien d’utilité polyvalente.",40 à 75 (pas de poids limite).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart polski,https://fr.wikipedia.org/wiki/Chart_polski,Pologne,"M 70-80 cm, F 68-75 cm",,Ras,Toutes les couleurs sont admises,"Forte, sèche et longue",,"De grandeur moyenne, assez étroites","Avec franges, longue, forte à la base","Confiant, réservé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retriever de la baie de Chesapeake,https://fr.wikipedia.org/wiki/Retriever_de_la_baie_de_Chesapeake,États-Unis,"58 à 66 cm (M), 53 à 61 cm (F)","29,5 à 36,5 kg (M), 25 à 32 kg (F)","Serré et court, imperméable, sous-poil imprégné d'huile",Marron dans toutes ses nuances.,"Crâne large et arrondi, stop moyen et mâchoires bien développées.","Très clairs, jaunâtres ou ambres.","Tombantes, de petite taille.","De longueur et grosseur moyenne à l'attache, portée droite ou légèrement incurvée.","Calme, affectueux, éveillé et intelligent.",Chien de taille moyenne d'aspect solide et puissant.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien de montagne des Pyrénées,https://fr.wikipedia.org/wiki/Chien_de_montagne_des_Pyr%C3%A9n%C3%A9es,"Pyrénées ( France , Espagne )","65 à 80 cm, grand chien",,"Assez long, plat et souple, bien fourni","Blanche, ou blanche avec des taches grises, jaunes ou orange","Pas trop forte, stop en pente douce, cou fort, truffe entièrement noire","Petits, en amandes, légèrement obliques, de couleur brun ambré","Tombantes, plutôt petites, situées à hauteur de l'œil","Assez longue, touffue, en panache, fournie","affectueux, agressif envers les inconnus au troupeau, protecteur envers le troupeau, obstiné. Réservé à l'égard des inconnus.","50 à 64 kg, chien de grande taille, fortement charpenté",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger belge Groenendael,https://fr.wikipedia.org/wiki/Berger_belge_Groenendael,Belgique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger belge Laekenois,https://fr.wikipedia.org/wiki/Berger_belge_Laekenois,Belgique,"58 (f), 66 (m)","22-27 kg (f), 27-32 kg (m)",dur et rêche,fauve,fauve,brunâtres foncés,pointues et dressées,entière et portée bas,"intelligent, attentif, vif, obéissant et fidèle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malinois,https://fr.wikipedia.org/wiki/Malinois_(chien),Belgique,,"De 20-25 kg (F), 25-30 kg (M)",Court,fauve charbonné,"plus fine, avec un masque noir",brunâtres foncés,"pointues et dressées, de couleur foncée ou noire",entière et portée bas,"souvent attentif et obéissant, joueur, intelligent","58 cm (F), 62 cm (M) Limites : en moins 2 cm, en plus 4 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger belge Tervueren,https://fr.wikipedia.org/wiki/Berger_belge_Tervueren,Belgique,,De 20 à 32 kg,"Long, couleur fauve charbonné à masque noir ...","Couleur fauve, sable","Longue, sèche, ...","Couleur noir, iris marron, taille moyenne,légèrement en amande...",droite,"Longueur moyenne, recourbée, ...","Équilibré, intelligent, rapide...",grande taille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de la Serra da Estrela,https://fr.wikipedia.org/wiki/Chien_de_la_Serra_da_Estrela,Portugal,"65 à 73 cm (M), 62 à 69 cm (F).","47 à 62 kg (M), 37 à 47 kg (F).",Poil long ou poil court (deux variétés),"Unicolore jaune, fauve, gris, gris-loup, bringé . Masque noir sur la face.","Forte, longue et légèrement convexe vue de profil. Stop peu prononcé.","De forme ovale, de taille moyenne à petite, de couleur ambre foncé.","Tombantes vers l'arrière de la tête, de forme triangulaire, de petite taille.","Atteint au moins le jarret, en forme de faucille.","Doué pour la garde, docile avec son maître, méfiant envers les étrangers.","Chien de grande taille de type molossoïde , d'aspect rustique.","Chien de garde , Chien de berger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien de Castro Laboreiro,https://fr.wikipedia.org/wiki/Chien_de_Castro_Laboreiro,Portugal,"58 à 64 cm (M), 55 à 61 cm (F).","32 à 42 kg (M), 27 à 37 kg (F).","Court, lisse, épais, sans sous-poil.",Bringée. Couleur spécifique « montagne » .,"De grande moyenne, assez légère, de forme rectangulaire allongée.","En amande, de couleur marron.","Tombantes, triangulaires arrondies à l'extrémité.",Atteint le jarret.,"Docile, vigilant, réservé avec les étrangers.","Chien de grande taille de type mâtin , d'aspect rustique et vigoureux.","Chien de garde , Chien de berger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien de Saint-Hubert,https://fr.wikipedia.org/wiki/Chien_de_Saint-Hubert,Belgique,"68 cm (M), 62 cm (F).","48 à 56 kg (M), 42 à 50 kg (F).","Lisse, court et serré.","Noire et feu, foie et feu ou unicolore rouge.","Crâne en dôme, avec la peau lâche.","De forme ovale, de couleur noisette ou brun foncé.","Tombantes, longues, papillotées.","Longue et épaisse, portée en sabre.","Doux, placide, gentil, sociable et très attaché à son maître.","Chien d'ordre de grande taille, d'aspect noble et massif.","Chien de chasse , Chien de compagnie , Chien de détection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien d'Artois,https://fr.wikipedia.org/wiki/Chien_d%27Artois,France,52 à 58 cm.,30 à 32 kg.,Court.,"Tricolore fauve foncé, blanc et noir, avec grandes taches.",Crâne fort et arrondi.,"Ronds, brun foncé.","Larges, presque plates, assez longues.","Forte, assez longue, portée en faucille.","Chien endurant, ralliant bien la meute, équilibré et affectueux.","Chien bien charpenté, musclé, donnant une impression de force et d'énergie.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chihuahua,https://fr.wikipedia.org/wiki/Chihuahua_(chien),Mexique,,,suivant la sorte de chihuahua ; long ou court,"toutes les couleurs sont admises, sauf le merle pour le LOF",,,,,"protecteur, sociable, courageux",maximum 3 kg et minimum 1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien chinois à crête,https://fr.wikipedia.org/wiki/Chien_chinois_%C3%A0_cr%C3%AAte,,Petit chien,,partiellement nu ou poil long (variété houppette à cendre),toutes couleurs.,,,dressées ou tombantes (pour la variété houppette),,amical/sensible,chien élancé entre 3 et 7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,https://fr.wikipedia.org/wiki/Chinook_(chien),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger de Bohême,https://fr.wikipedia.org/wiki/Berger_de_Boh%C3%AAme,République tchèque,49 à 55 cm,17 à 27 kg,"Double avec sous-poil, dense",noire et feu,"Cunéiforme, stop pas très prononcé, truffe noire","En amandes, obliques, marron","Dressées, de taille moyenne",Portée tombante décrivant une légère courbe,"Vigilant, travailleur, courageux, protecteur, joueur, obéissant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khortaï,https://fr.wikipedia.org/wiki/Khorta%C3%AF,Russie,"M 65 à 75 cm, F 61 à 71 cm",peut varier de 18 kg à 35 kg,Ras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chow-chow,https://fr.wikipedia.org/wiki/Chow-chow,Chine,"48-56 cm (M), 46-51 cm (F).",,Dense pour les variétés à poil long ou court.,"Noire, bleue, fauve, crème et blanc.","Semblable à celle d'un ourson comme chez le Shar Pei , mais plus courte et plus large.","Petits, de couleur noire ou foncée.","Petites, triangulaires, inclinées vers l'avant et légèrement convergentes.",Portée en panache.,"Fier, distant et loyal.","De 27 à 37 kg, en moyenne.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de berger roumain des Carpathes,https://fr.wikipedia.org/wiki/Chien_de_berger_roumain_des_Carpathes,Roumanie,idéale : entre 65 et 73 cm pour les mâles et entre 59 et 67 cm pour les femelles.,,"long, droit, de texture rêche, avec sous-poil dense.",sable charbonnet (Louvet) nuancée,"type lupoïde, stop peu marqué.","en amande, de couleur brun foncé","tombantes, en triangle, extrémité légèrement arrondie, accolées aux joues","atteint ou dépasse légèrement le jarret, portée pendante au repos, portée relevée et un peu recourbée en action.","équilibré, calme, courageux, digne","chien de berger de grande taille, lupoide, d'aspect vigoureux mais non lourd.",chien de berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger roumain Bucovina,https://fr.wikipedia.org/wiki/Chien_de_berger_roumain_de_Bucovine,Roumanie [ 1 ],au minimum 70 cm (M) et 65 cm (F).,,"long, droit, de texture rêche, avec sous-poil dense.","blanc et noir, blanc et gris, gris uni ou blanc uni.","massive, museau plus court que le crâne, stop peu marqué.","de taille moyenne, de couleur noisette.","tombantes, en forme de « V », extrémité légèrement arrondie, longueur 10 à 15 cm .","atteint ou dépasse légèrement le jarret, portée pendante au repos, portée relevée et un peu recourbée en action.","équilibré, calme, courageux, méfiant avec les étrangers.","chien de montagne de grande taille, d'aspect vigoureux mais non lourd.",chien de berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de berger roumain de Mioritza,https://fr.wikipedia.org/wiki/Chien_de_berger_roumain_de_Mioritza,Roumanie,Mâle : 70–75 cm Femelle : 65–70 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirneco de l'Etna,https://fr.wikipedia.org/wiki/Cirneco_de_l%27Etna,"Sicile , Italie","46 à 50 cm (M), 42 à 46 cm","12 à 14 kg , 10 à 12 kg",Ras et semi-long bien lisse (raide).,Fauve unicolore ou fauve avec blanc.,Longue et étroite.,"Ocre, ambre et gris.","Attachées haut et dressées, forme triangulaire.",Attachée bas et de taille longue.,"Doux et affecueux, vif.",,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clumber Spaniel,https://fr.wikipedia.org/wiki/Clumber_Spaniel,Royaume-Uni,entre 43 et 51 cm,environ 27 à 36 kg,plat et raide,bicolore: blanc à tache marron plus ou moins clair,,,tombantes et frangées,,Curieux et calme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de berger Kangal,https://fr.wikipedia.org/wiki/Kangal_(chien),Turquie,74 à 81 cm tolérance + 2 cm (mâle) 71 à 79 cm tolérance + 2 cm (femelle),55 à 75 kg (mâle) 45 à 60 kg (femelle),"Court ou demi-long, dense avec un sois-poil épais, plus long en hiver et de tout temps au cou, aux épaules et aux cuisses",Toutes les couleurs sont admises mais la couleur « boz » (du fauve au blanc en passant par le crème) est la plus répandue.,"Forte, mais proportionnée au corps, large à la hauteur des oreilles, légèrement bombée. Les mâles adultes ont la tête plus large que les femelles. Stop légèrement marqué. Proportion : 2 tiers crâne / 1 tiers museau","Plutôt petits par rapport à la dimension du crâne, bien espacés ; la conjonctive n’est pas visible. Couleur : doré à marron selon la couleur de la robe. Bord des paupières noir sauf chez les chiens de couleur foie (marron).","De grandeur moyenne, triangulaires, arrondies à l’extrémité, elles tombent contre les joues ; elles se relèvent quand le chien est attentif.","Longue, atteignant le jarret. Attachée relativement haut, au repos elle est portée bas et légèrement incurvée ; quand le chien est attentif, elle est portée haut avec l’extrémité enroulée sur le dos, spécialement chez les mâles.","Sage et hardi, sans agressivité, de nature indépendante, très intelligent et docile, fier et sûr de lui. Fidèle et affectueux pour ses maîtres, mais méfiant envers les étrangers quand il travaille.",,"Chien de berger utilisé pour la protection des moutons. À l’origine, cette race active était utilisée pour la garde des moutons ; dur au travail, il supporte la chaleur et le froid extrême.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockapoo,https://fr.wikipedia.org/wiki/Cockapoo,,25 à 38 cm,,poil droit à bouclé,,,,,,Enthousiaste et affectueux.,compacte et carrée à la fourrure dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papillon,https://fr.wikipedia.org/wiki/%C3%89pagneul_nain_continental_papillon,,28 cm.,,"long, un peu ondulé.",le blanc doit dominer ; une liste en tête est recommandée.,"ronde, expressive.",en amande.,bien dressées. Portant de longues « soies ».,"recourbée sur le dos, effleurant celui-ci.","très intelligent, polyvalent et vif. Régions : Belgique, France et Espagne.","1,5 à 5 kg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coton de Tuléar,https://fr.wikipedia.org/wiki/Coton_de_Tul%C3%A9ar,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Hound,https://en.wikipedia.org/wiki/Cretan_Hound,,,,,,,,,,,,,Kritikos Lagonikos Kressa Kyon Kritikos Ichnilatis,Greece,,,,,Males,Males,"short, smooth, hard, flat",,,,"solid, particolour or tricolour",,,,Crete,standard,,,,,,,,,,,,,,,,,,,,,,,,
Cursinu,https://fr.wikipedia.org/wiki/Cursinu,Corse,"46 à 58 cm (M), 46 à 55 cm (F)",Pas de poids idéal spécifié dans le standard,"Bien fourni, court ou mi-long.",La couleur est le plus souvent le fauve bringé ; toutes les nuances de fauve existent. Le fauve ou le sable charbonné et le noir marqué de fauve ou de sable sont également admis ainsi que la présence d'un masque. La panachure limitée est admise : les taches blanches se localisent au niveau du poitrail et des extrémités des membres.,Modèle lupoide,"De forme ovale, de couleur noisette à marron foncé.","Triangulaires, tombantes ou semi-tombantes.",Longue ou de taille moyenne.,"Docile, fidèle et très attaché à son maître.",,"Chien de compagnie , Chien de berger , Chien de chasse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retriever à poil bouclé,https://fr.wikipedia.org/wiki/Retriever_%C3%A0_poil_boucl%C3%A9,Royaume-Uni,"67,5 cm (M), 62,5 cm (F).",,"Court et finement bouclé, sauf sur la face où le poil est lisse",Noir ou foie.,Cunéiforme. Axes du crâne et du chanfrein parallèles. Stop peu marqué.,"Grands, de forme ovale et en position oblique.","Petites et collées à la tête, tombantes","Atteint le jarret, portée droite en action.","Intelligent, équilibré, amical, indépendant.","Chien de taille moyenne, d'aspect robuste et fort.","Chien de chasse , Chien de garde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teckel,https://fr.wikipedia.org/wiki/Teckel,Allemagne,Non déterminée par le standard,,"Poil long, poil ras et poil dur.","Noire et feu, chocolat et feu, arlequin (chocolat ou noir), bringé, rouge, sanglier,...",Crâne légèrement arrondi.,Yeux en amande et iris noirs.,"Tombantes, lisses et larges.",Entre 5 cm et 10 cm en moyenne.,"Espiègle, dévoué et possessif avec son maître.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmatien,https://fr.wikipedia.org/wiki/Dalmatien,Croatie,55 à 60 cm,27 à 32 kg,"Court, dur, serré, lisse et luisant",Blanc avec taches noires ou marron,"En forme de prisme, stop modéré et truffe noire ou marron",Noirs ou marron foncé,"De grandeur moyenne, attachées plutôt haut et portées près de la tête","Portée en sabre, de préférence tachetée","Actif, intelligent, affectueux et adore les enfants","Chien de taille moyenne Corps rectangulaire, puissant et musclé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
